TeamId,TeamName,SubmissionDate,Score
26011,MoltenLava,"2012-10-18 21:34:53",0.77511
26011,MoltenLava,"2012-12-24 02:18:04",0.77990
31750,statIsFun,"2012-12-28 06:31:01",0.76076
31782,98074,"2012-12-28 20:39:54",0.00000
26011,MoltenLava,"2012-12-30 00:06:06",0.78468
31750,statIsFun,"2013-02-06 19:02:52",0.77511
34352,odedha,"2013-02-09 20:37:12",0.76555
34454,"Raghavendra Rao","2013-02-11 17:35:40",0.77033
34454,"Raghavendra Rao","2013-02-18 17:00:18",0.78468
34454,"Raghavendra Rao","2013-02-20 17:17:28",0.78947
39178,Hope_the_Best,"2013-04-09 13:24:34",0.76555
39178,Hope_the_Best,"2013-04-09 14:38:50",0.77990
39482,"Dominic White","2013-04-11 18:53:59",0.76555
39178,Hope_the_Best,"2013-04-13 18:53:55",0.79425
39570,Miguel,"2013-04-18 22:16:18",0.77990
42343,"Aidan Kelleher","2013-05-04 11:11:54",0.76555
48403,khylo,"2013-06-13 13:57:22",0.66507
48420,"Erhan Guven","2013-06-13 16:14:55",0.77511
48420,"Erhan Guven","2013-06-13 16:35:09",0.77990
48403,khylo,"2013-06-14 23:02:28",0.77990
53716,bloomen,"2013-07-21 21:59:41",0.78468
53716,bloomen,"2013-07-22 04:36:38",0.80382
53751,"Arnaud Bouchard","2013-07-22 13:29:39",0.76555
31750,statIsFun,"2013-08-07 21:06:07",0.78468
65760,"Alan Chalk","2013-11-18 22:35:18",0.76555
31750,statIsFun,"2014-01-07 03:57:50",0.78947
31750,statIsFun,"2014-01-08 04:05:39",0.80382
80437,SK004,"2014-03-09 12:58:08",0.73684
83777,"Akbar Thobani","2014-03-28 03:28:11",0.62679
83777,"Akbar Thobani","2014-03-29 15:52:00",0.76555
83777,"Akbar Thobani","2014-03-29 16:23:01",0.77990
83777,"Akbar Thobani","2014-03-29 16:37:46",0.78468
89702,"g p","2014-04-23 08:20:38",0.74641
89702,"g p","2014-04-23 08:25:48",0.78468
89702,"g p","2014-04-23 12:42:00",0.78947
111452,Teots,"2014-08-10 08:39:21",0.78468
111452,Teots,"2014-08-10 09:18:49",0.81339
115014,RReader,"2014-08-30 19:31:57",0.76555
116840,蔡忠廷,"2014-09-12 07:40:05",0.76555
116840,蔡忠廷,"2014-09-12 08:41:55",0.77033
119114,Daru,"2014-09-28 16:20:25",0.76555
119114,Daru,"2014-10-04 09:17:06",0.77990
121525,mglissmann,"2014-10-15 03:35:48",0.76555
121525,mglissmann,"2014-10-16 00:17:03",0.77033
120177,gregchase,"2014-10-16 01:29:24",0.76555
121525,mglissmann,"2014-10-16 06:50:39",0.77990
121525,mglissmann,"2014-10-19 22:42:29",0.78468
123095,Yallen,"2014-10-27 12:35:22",0.75119
123095,Yallen,"2014-10-27 18:09:14",0.75598
123095,Yallen,"2014-10-27 18:12:01",0.76555
120177,gregchase,"2014-10-27 22:19:14",0.77990
123095,Yallen,"2014-10-29 12:41:33",0.77033
123095,Yallen,"2014-10-29 13:21:16",0.77990
123579,Andresalaz,"2014-10-29 19:02:14",0.76555
120177,gregchase,"2014-10-30 01:50:31",0.78468
123095,Yallen,"2014-10-30 12:39:08",0.78468
123095,Yallen,"2014-10-30 12:52:12",0.79425
123095,Yallen,"2014-11-02 19:36:29",0.79904
123095,Yallen,"2014-11-03 13:02:39",0.80382
120177,gregchase,"2014-11-04 03:04:36",0.79425
120177,gregchase,"2014-11-05 03:42:38",0.81339
127721,"Riley Dallas","2014-11-23 19:43:08",0.62679
127721,"Riley Dallas","2014-11-23 20:02:32",0.76555
127721,"Riley Dallas","2014-11-23 20:35:49",0.78468
127721,"Riley Dallas","2014-11-24 05:02:08",0.80861
130194,mcls,"2014-12-05 22:11:21",0.78468
131070,"sumit roy","2014-12-10 20:44:21",0.51674
131070,"sumit roy","2014-12-10 20:49:58",0.62679
131070,"sumit roy","2014-12-11 05:43:10",0.78468
137838,Canopvs,"2015-01-09 16:03:25",0.76555
126588,billyClanton,"2015-01-21 23:34:27",0.62679
126588,billyClanton,"2015-01-22 01:51:28",0.76076
